State,Pre_2005,Pre_2006,Pre_2007,Pre_2008,Pre_2009,Pre_2010,Pre_2011,Pre_2012,Pre_2013,Pre_2014,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pre_2020,Pre_2021,Pre_2022
Gujarat_Rajkot,11.16017857,8.578035714,9.246607143,8.47125,9.345789474,10.14315789,8.413214286,9.737090909,10.64185185,8.723571429,10.60508772,10.24736842,10.11035088,9.869454545,10.67425926,9.678202464,10.98553621,9.833109089
Gujarat_Sabar Kantha,17.1274359,14.35230769,10.96153846,11.65195122,15.33571429,14.6802381,13.75690476,12.808,14.41473684,11.71358974,12.18512195,13.09609756,13.24410256,13.21289474,14.84428571,13.02913579,14.57244975,13.1071971
Gujarat_Surat,6.452592593,6.771481481,7.207037037,7.078148148,6.913333333,7.400740741,6.872307692,7.0144,7.5372,6.5828,11.9584,7.4032,7.124166667,7.257083333,6.747083333,7.212675694,7.142465947,7.214833783
Gujarat_Surendranagar,11.19238095,11.21095238,10.19809524,10.02285714,11.13357143,9.94,8.493846154,8.943947368,8.000526316,10.12195122,12.8125,10.56179487,10.44105263,6.827142857,6.813714286,7.970644974,9.615058528,8.227321562
Gujarat_Tapi,6.608461538,7.723076923,7.345384615,6.414615385,7.283846154,10.93923077,7.166153846,8.035384615,7.562307692,7.266923077,12.19,8.170769231,7.776923077,9.157692308,7.951538462,8.99805787,9.374112833,8.996464516
Gujarat_The Dangs,6.195238095,5.953809524,5.905238095,5.69952381,5.787142857,5.426666667,4.53952381,5.766,5.824736842,6.001,9.242,6.316,6.414444444,6.305,6.163684211,6.783825791,6.307771112,6.671780481
Gujarat_Vadodara,13.62106383,12.37340426,11.81957447,10.97565217,11.40152174,12.12130435,11.0973913,11.77956522,12.01673913,10.84533333,12.20066667,12.27711111,12.39543478,11.76688889,13.14644444,12.13609607,13.18020769,12.19289828
Gujarat_Valsad,7.557058824,6.816470588,7.398235294,7.405882353,7.648235294,8.151176471,6.495882353,7.000588235,6.926470588,7.094375,13.42,5.871875,6.92,7.325625,7.23625,7.299637212,7.287896514,7.318089002
Haryana_Ambala,10.164375,10.75375,12.02,13.44266667,12.448,12.93666667,11.28733333,12.38,13.65142857,11.91357143,11.47533333,11.80333333,14.292,12.45214286,11.80466667,12.80183751,12.46129081,12.77194285
Haryana_Bhiwani,10.51,10.3640625,10.7265625,10.99935484,10.12387097,10.7946875,9.9928125,10.22032258,10.18548387,9.779354839,10.44645161,10.10935484,10.15709677,9.817586207,10.40483871,10.00338899,10.87784541,10.13561247
Haryana_Faridabad,17.28333333,17.52,18.15666667,18.97,19.39333333,20.53333333,20.58833333,20.53,22.43666667,22.20333333,24.365,24.04333333,26.24166667,28.41333333,30.46166667,27.79177921,32.48578469,27.07847273
Haryana_Fatehabad,9.196,9.388,9.43,10.362,10.52,11.38,10.89,13.09,9.545,9.505,12.23666667,3.25,3.65,5.17,5.39,5.312593069,6.415714418,5.176459715
Haryana_Gurgaon,22.88111111,22.93222222,23.77666667,24.0325,23.59125,21.88777778,22.31625,23.6075,27.46714286,27.31142857,28.23428571,28.44571429,32.894,31.3,33.24857143,31.2289094,34.31882441,29.98614813
Haryana_Hisar,7.957058824,7.618285714,7.615142857,7.895806452,7.40516129,8.319333333,8.264516129,8.416666667,8.491935484,8.110666667,8.374642857,8.468076923,8.792,9.188787879,10.18705882,8.99982795,9.676270303,8.955397372
Haryana_Jhajjar,5.168571429,5.175238095,5.184285714,5.021904762,4.766315789,4.26,3.918421053,3.854,4.271,3.6775,4.5985,4.721578947,4.69,4.637368421,4.425,4.53923113,4.648050432,4.531883114
Haryana_Jind,9.918333333,9.84875,9.933478261,10.86545455,11.32333333,11.92714286,11.22631579,12.18526316,13.29526316,13.54388889,14.3595,14.32882353,14.27555556,14.56833333,12.69,14.00940199,13.36087553,13.98968835
Haryana_Kaithal,11.20428571,11.46952381,12.0952381,12.5385,11.86684211,14.37904762,14.118,14.219,16.30444444,15.50166667,17.39823529,18.73875,21.336875,20.33538462,19.83692308,20.24688678,19.37572351,19.95053451
Haryana_Karnal,11.455,12.24904762,13.732,14.534,14.89,15.589,16.13263158,17.18894737,17.97684211,16.08882353,18.97705882,18.943125,20.415,20.7025,21.296875,20.55039296,20.87702464,19.87679183
Haryana_Kurukshetra,21.104,22.04,25.018,25.05,26.068,28.36,27.297,29.204,31.23666667,32.66333333,32.982,34.715,35.648,37.92777778,80.27375,37.22198996,67.44698066,35.90315726
Haryana_Mahendragarh,24.494,24.096,23.214,23.39,24.562,25.956,23.888,24.118,24.98,27.004,23.33,25.454,25.665,29.0575,27.3675,28.38615975,29.78002211,27.83506312
Haryana_Mewat,5.49875,5.896875,5.16,6.84125,6.7,6.37625,6.402,5.382,7.01,6.507142857,6.9125,6.615,6.322307692,5.278461538,6.037692308,5.876439818,5.979931099,6.034879357
Haryana_Palwal,6.365882353,6.780588235,7.115294118,7.180625,6.58125,8.209375,6.762352941,5.475882353,6.664705882,6.142352941,7.248125,7.561875,7.780666667,8.097857143,8.961428571,7.891305589,8.638874686,8.157693852
Haryana_Panchkula,21.12714286,21.55285714,21.86428571,21.61,16.74,16.38166667,21.88428571,22.19428571,24.52857143,23.90857143,22.78857143,25.06571429,23.61714286,16.00166667,25.98428571,18.36602407,22.68972496,20.6436165
Haryana_Panipat,8.671428571,9.345714286,10.12785714,11.35071429,10.66571429,11.69714286,10.66357143,12.21,12.29538462,13.63818182,18.51909091,17.5,16.20181818,13.16727273,11.37,14.12165961,13.65364974,13.9883784
Haryana_Rewari,16.00333333,15.92166667,16.755,16.574,16.166,16.76181818,14.73727273,15.18818182,15.91090909,16.733,15.50333333,16.14083333,16.28454545,17.3,14.635,17.06096885,16.22302563,16.54524906
Haryana_Rohtak,4.621,4.242,4.156,4.169,3.4445,3.802857143,3.297142857,2.743333333,3.378095238,3.314,3.340588235,3.312352941,3.979285714,2.504705882,2.999375,2.862780842,3.520479264,2.937620269
Haryana_Sirsa,9.986774194,9.9775,9.92375,10.365625,10.6053125,11.4996875,10.86633333,11.83548387,11.28935484,10.89266667,10.8725,11.56166667,12.86448276,12.59633333,16.47433333,12.5972856,14.78671912,12.56304963
Haryana_Sonipat,5.064074074,5.560357143,5.87137931,6.027241379,5.516206897,5.861034483,5.023214286,4.524642857,5.396296296,5.038076923,5.836923077,6.272608696,6.583913043,5.6125,6.4576,6.61149335,6.14870396,6.527303958
Haryana_Yamunanagar,11.56,11.30142857,12.62684211,13.32117647,13.17235294,13.51,12.06,11.699,13.0115,11.68578947,12.59789474,13.22842105,13.66421053,13.88444444,14.28,13.61383295,14.13382405,13.56429163
Himachal Pradesh_Hamirpur,7.24,7.33,6.32,6.3,6.59,6.24,6.51,6.5,6.3,6.01,4.81,6.13,6.46,6.46,5.09,6.371916476,6.173592661,6.533544904
Himachal Pradesh_Kangra,5.835384615,6.587307692,5.808076923,6.323076923,6.703076923,7.647692308,6.798461538,6.835,5.953076923,6.051538462,4.390384615,5.803846154,5.61,5.79,4.818461538,5.635430374,5.417241879,5.57902894
Himachal Pradesh_Kullu,3.963333333,3.206666667,2.733333333,4.23,4.42,4.133333333,2.803333333,3.703333333,3.326666667,3.173333333,3.093333333,3.636666667,4.195,4.82,5.27,4.354265342,4.284147055,4.382237138
Himachal Pradesh_Mandi,7.77,6.895,7.348,7.414,8.166,8.616,5.538,5.9,5.358,4.214444444,3.2675,3.3775,4.1125,4.36,3.71625,4.451901647,4.023904698,4.445845143
Himachal Pradesh_Sirmaur,14.97333333,16.72166667,15.60833333,15.70666667,16.3425,15.30916667,14.9,14.9725,12.03909091,12.31666667,12.9225,13.17833333,12.35363636,12.75090909,12.32818182,14.08225897,13.19705052,13.67440592
Himachal Pradesh_Solan,14.07416667,14.16416667,15.31083333,15.87666667,12.4475,13.035,12.56833333,12.78916667,12.18583333,11.34416667,13.47727273,14.00909091,14.55545455,14.00363636,14.115,14.19172663,14.14490382,13.89724677
Himachal Pradesh_Una,10.37235294,11.61588235,11.54294118,12.63882353,11.49058824,11.22411765,10.91294118,11.18705882,7.248,6.531333333,5.195,6.25625,6.693125,6.443125,4.498666667,6.831582816,5.482230693,6.983662975
Jammu and Kashmir_Rajouri,2.780833333,4.649166667,2.545416667,4.433333333,4.517916667,5.579166667,2.720416667,4.968333333,3.335833333,2.7275,1.975416667,3.791666667,3.88375,5.734583333,3.702916667,5.113222389,4.118086645,4.926805399
Jammu and Kashmir_Jammu,7.771833333,8.408833333,6.974,7.982166667,7.709166667,8.611,8.137166667,8.083166667,7.723166667,6.914237288,6.21637931,7.215862069,8.017222222,8.710925926,8.486415094,8.426486211,8.442117467,8.111863945
Jammu and Kashmir_Kathua,7.464761905,7.14547619,7.017380952,7.288809524,7.484047619,8.429047619,7.411904762,7.786190476,7.884285714,6.606190476,5.897435897,6.684358974,7.184871795,7.748648649,7.000810811,7.357022957,7.901470964,7.343875481
Jammu and Kashmir_Udhampur,3.858888889,3.776666667,3.176666667,4.251111111,5.985555556,5.922222222,5.028888889,4.434444444,4.2525,3.0075,3.422857143,5.5,4.374285714,5.698571429,4.407142857,4.601438298,4.588594974,5.0288133
Jharkhand_Bokaro,8.665,7.063,6.754,8.644444444,8.095555556,7.726666667,7.746,7.472,8.063,6.381,6.018,7.787,8.626,7.186,7.43,7.515914899,8.107731743,7.604543076
Jharkhand_Chatra,8.403333333,8.206666667,8.553333333,7.758333333,9.183333333,8.736666667,10.95,7.975,9.863333333,9.608333333,6.976666667,8.64,8.161666667,7.958333333,8.895,8.066039182,8.752086061,8.295553161
Jharkhand_Deoghar,7.233636364,7.869,7.438,8.336,7.318,8.677,7.973,8.345454545,7.831,5.991818182,6.22,7.731111111,8.017777778,7.96,8.796666667,7.95122831,8.577566357,7.914317004
Jharkhand_Dhanbad,6.4025,6.88875,6.65625,6.13,6.40125,6.74375,6.96375,5.84625,6.12,5.29875,5.56375,5.56625,5.275,5.19125,5.015,5.242388251,5.058896148,5.348932213
Jharkhand_Dumka,6.112352941,6.325882353,6.062941176,6.257647059,6.308888889,7.635882353,7.271764706,7.632352941,7.093125,6.424444444,6.592777778,6.821666667,6.589444444,6.557222222,6.536111111,6.625470877,6.565918785,6.719841598
Jharkhand_Garhwa,5.97,6.735714286,6.905,5.333333333,6.056,6.654,9.966666667,6.873333333,7.682,7.205,4.381428571,6.6,7.632857143,8.055714286,8.358333333,7.748043945,8.475707758,7.755371142
Jharkhand_Giridih,7.21,8.820666667,6.935714286,6.123571429,7.32,8.543571429,8.979285714,7.592666667,8.288,6.818666667,7.471333333,8.857142857,9.69,9.372142857,9.368571429,9.069947188,9.181622853,8.998771652
Jharkhand_Godda,7.525,6.444,5.338,7.325,6.643636364,6.171,7.292,8.147,8.364,7.047,6.968,6.644545455,7.637272727,7.255454545,6.646,7.269629283,7.192524882,7.418167445
Jharkhand_Gumla,6.797857143,6.498571429,6.38,6.196923077,6.631538462,6.757692308,6.764166667,6.049230769,5.636666667,5.500769231,3.078461538,6.174285714,7.37,6.948181818,7.236363636,6.716188971,7.067661864,6.869638912
Jharkhand_Hazaribagh,9.715,8.135,7.6,7.875,8.2175,9.525,10.6675,8.4025,8.9,7.8625,3.9625,8.22,9.3075,9.8675,9.7275,9.141218752,9.971304429,9.446670566
Jharkhand_Jamtara,5.814,5.648,6.366,7.483333333,6.7925,7.8275,7.875,9.2,7.106,6.818,5.542,6.656,6.27,6.4,6.382,6.61501555,6.696504613,6.571267921
Jharkhand_Khunti,8.374,7.978333333,6.951666667,6.725,6.185,6.218333333,7.966,4.82,6.6525,3.604,6.83,7.1,6.146,3.742,4.484,4.465949162,5.511903224,4.717787332
Jharkhand_Kodarma,7.49,6.94,7.475,7.25,7.225,8.53,10.1,8.55,8.75,7.2,3.35,7.975,6.84,6.885,8.415,6.939871625,8.090162255,7.101608643
Jharkhand_Latehar,7.476363636,8.134,7.781,7.655555556,8.1775,9.28875,9.97,8.7875,7.965555556,6.995,7.277272727,7.389090909,7.859090909,8.092,9.964,8.215328279,9.33715453,8.204594838
Jharkhand_Lohardaga,6.756666667,7,7.828333333,6.465,7.598333333,7.723333333,8.112,7.306,6.696666667,5.571666667,3.055,3.055,7.71,7.41,7.82,7.617369159,7.634943661,7.506648349
Jharkhand_Pakur,7.42,6.281428571,7.407142857,6.848571429,6.535714286,7.572857143,7.638571429,7.372857143,7.651428571,5.551428571,6.191428571,7.827142857,6.608571429,6.07,7.08,6.391289611,6.915131392,6.446267776
Jharkhand_Palamu,8.670769231,7.587692308,7.134615385,7.134615385,7.484615385,9.879230769,10.54,9.047692308,6.313076923,9.252307692,7.071538462,8.312307692,8.859230769,8.274615385,9.868461538,8.329708523,8.558356328,8.442143679
Jharkhand_Pashchimi Singhbhum,6.7275,6.9375,5.87875,6.0575,6.3125,7.5125,7.715,7.80625,7.23125,6.9825,7.41625,7.41625,7.99375,6.56625,6.398571429,7.054774422,7.317214892,7.065079747
Jharkhand_Purbi Singhbhum,10.53384615,9.24,9.862307692,8.760769231,10.23461538,9.46,9.593076923,9.076923077,9.925384615,7.66,7.131538462,8.573846154,9.241666667,8.199,7.076666667,9.063131947,9.668940476,8.525691192
Jharkhand_Ramgarh,5.792,5.718,6.75,7.54,6.632,6.676,7,5.248,5.524,5.064,5.064,5.064,5.064,5.064,5.064,5.143627826,5.01319079,5.147230361
Jharkhand_Ranchi,7.923333333,6.262,6.74,7.03,6.715333333,7.544666667,8.059285714,7.563571429,7.007333333,6.45,6.295333333,6.636666667,5.576428571,5.213571429,4.160481225,5.322136031,4.761238564,5.461791454
Jharkhand_Sahibganj,7.617142857,7.232857143,8.674285714,6.461428571,5.91125,6.39375,5.92,7.38125,7.532857143,5.094285714,4.8875,6.675,6.96,6.11625,4.21025659,6.282864368,5.092343107,6.384187712
Jharkhand_Saraikela-kharsawan,7.718222222,8.066666667,8.333333333,7.866666667,7.171666667,8.42,8.258333333,8.371666667,7.408333333,7.13,7,7.135,7.77,6.53,7.017886649,8.146183912,7.09612681,7.199520252
Jharkhand_Simdega,7.154285714,6.46,6.4,5.947142857,7.007142857,7.131428571,7.09,6.652857143,6.652857143,6.652857143,3.057142857,6.462857143,7.114285714,6.385714286,7.081428571,6.527002305,6.998742153,6.578501351
Karnataka_Bagalkot,10.30574879,10.30574879,9.896551724,9.824333333,9.561666667,7.837,9.518333333,11.2337037,11.35103448,10.25965517,11.10357143,12.24777778,11.50272727,9.080526316,9.3105,10.20283704,9.856656061,10.0387276
Karnataka_Bangalore,11.94956522,11.3647619,11.94956522,11.94956522,12.91166667,13.34333333,13.32583333,13.92090909,18.03478261,16.87772727,14.83217391,14.42869565,16.16789474,15.95736842,18.96222222,15.93927304,17.75969906,16.66651744
Karnataka_Bangalore Rural,14.126875,12.84166667,13.435,13.45166667,12.47388889,14.94,13.595,14.72333333,17.84176471,17.2275,17.40666667,15.80615385,19.79666667,17.595,20.18090909,18.5126352,19.5569938,18.51198011
Karnataka_Belgaum,9.634948454,8.101020408,9.198282828,8.935353535,8.795360825,7.437083333,8.1003125,8.633586957,10.38097826,8.685957447,9.245604396,9.374719101,9.041764706,9.051176471,9.026705882,9.120350385,9.431007554,9.113114578
Karnataka_Bellary,10.51619048,9.259555556,10.642,8.891555556,8.880227273,7.369782609,7.610217391,8.658809524,9.264047619,9.2305,8.92475,9.14275,11.64787879,10.8569697,12.0124,10.17927689,10.35205797,10.28038104
Karnataka_Bidar,13.19125,11.35205882,12.88617647,11.42323529,12.62242424,14.189375,10.04875,12.605625,11.31833333,10.64833333,11.91533333,13.59133333,9.797666667,10.77925926,13.11307692,10.79298382,12.56826378,10.77394101
Karnataka_Bijapur,8.510701754,8.060892857,8.86,7.248965517,7.688245614,6.599298246,7.347857143,8.721636364,10.32672414,9.679122807,9.527017544,10.06196429,8.755384615,7.8046,9.09877551,8.99491699,9.086963563,8.590032301
Karnataka_Chamrajnagar,9.4655,6.952608696,11.08208333,10.02,10.30434783,11.70391304,10.4626087,11.38391304,12.1873913,12.30727273,9.788181818,11.22052632,11.95944444,10.78888889,12.672,11.31911419,12.28558753,11.159434
Karnataka_Chikballapura,18.6192,14.75833333,16.54434783,15.1384,13.97269231,14.7516,12.61708333,13.52227273,23.39615385,22.66807692,24.7848,23.972,23.27631579,22.27277778,23.33933333,20.63803884,22.80582611,20.82871066
Karnataka_Chikmagalur,9.179375,8.849411765,9.150882353,7.949090909,7.764545455,6.815454545,7.537575758,8.031515152,10.62121212,10.32060606,8.501818182,9.066060606,9.358333333,8.095517241,8.700689655,8.439294971,9.25720052,8.55310746
Karnataka_Chitradurga,10.7715,10.25581395,12.45717391,9.863478261,10.76413043,7.238695652,7.340869565,10.26217391,13.29978723,12.76659574,11.78808511,12.63,15.41259259,11.71888889,15.14608696,12.61964575,12.65935529,12.70099212
Karnataka_Dakshina Kannada,8.76972973,7.641081081,9.183243243,8.138108108,8.623513514,9.011111111,8.248888889,9.414166667,9.403428571,8.466388889,7.566216216,8.244324324,8.858378378,9.292,9.693333333,8.727171167,8.731687618,8.814141965
Karnataka_Davanagere,11.64607143,10.07533333,9.363448276,6.69,8.31,5.82,5.570689655,7.455,9.43,7.358387097,7.198709677,8.764193548,10.64366667,8.069285714,11.36214286,8.152053754,10.75488878,8.48859736
Karnataka_Dharwad,14.53882353,13.33117647,12.4575,11.085,10.366875,8.518,8.555625,8.985714286,13.746,11.4425,11.568,11.07769231,13.171,8.911,13.307,11.03982594,12.27264654,10.69777389
Karnataka_Gadag,14.28545455,13.17,13.29083333,10.485,10.17090909,10.83521739,10.00434783,11.16761905,13.16409091,15.7905,14.96833333,17.50722222,15.881875,13.15266667,14.67733333,13.70465801,14.66964805,14.68114902
Karnataka_Gulbarga,8.489508197,6.988064516,8.80483871,8.366935484,8.895254237,8.500517241,7.391929825,8.34962963,11.31368421,9.880357143,7.376111111,10.13792453,7.75,7.405319149,9.235333333,8.048495237,8.655543923,8.011713442
Karnataka_Hassan,9.148,8.255294118,9.528529412,8.192647059,8.367352941,8.035277778,7.216111111,7.957777778,10.605,10.02147059,9.170571429,9.731428571,10.58259259,9.423461538,10.46375,9.289628465,10.16259204,9.355299669
Karnataka_Haveri,16.33421053,14.73125,15.6725,9.533478261,11.22086957,9.525454545,8.600909091,10.28809524,14.34363636,12.10909091,10.60809524,10.5605,13.97875,14.249375,12.52866667,13.43172261,12.92825429,13.63258044
Karnataka_Kodagu,10.11357143,7.209285714,9.179285714,9.060357143,8.770357143,8.406428571,8.023928571,9.471785714,9.160714286,9.436296296,8.556666667,8.925555556,9.069259259,8.563461538,9.345384615,8.643241833,9.456047215,8.70297964
Karnataka_Kolar,18.06681818,13.67608696,14.00434783,18.21590909,17.28666667,15.2945,18.0547619,18.261,24.19181818,28.365,28.41909091,27.47043478,22.19684211,16.40789474,23.13470588,18.06475094,23.31234725,19.82782679
Karnataka_Koppal,9.02037037,9.514814815,9.693333333,8.180357143,8.898928571,6.785,7.638571429,8.764074074,11.57964286,11.08357143,9.061785714,9.882222222,8.899565217,7.546521739,8.4955,8.945106142,8.687602846,8.675806229
Karnataka_Mandya,7.265405405,5.710810811,6.841621622,6.917027027,7.968918919,6.638108108,6.652352941,7.381764706,10.71111111,9.026111111,7.545833333,9.481764706,10.36321429,7.115,7.438571429,7.594803279,7.916827983,7.953213856
Karnataka_Mysore,7.11975,6.345952381,8.518571429,6.894390244,8.421538462,7.433,7.29625,7.99875,11.35575,10.67871795,9.694615385,10.22842105,10.67852941,8.703529412,8.773939394,8.943765341,9.689600773,8.945384747
Karnataka_Raichur,6.214117647,5.813529412,6.172647059,4.702058824,5.583823529,3.430294118,4.061470588,6.607058824,8.013235294,6.753235294,6.512941176,7.699117647,6.607142857,5.505357143,7.4812,6.838150416,6.582590752,6.67463976
Karnataka_Ramanagara,9.806666667,6.341481481,9.366296296,10.35518519,9.789230769,9.267307692,8.599615385,9.964583333,14.92333333,14.25846154,13.25115385,12.592,13.27727273,9.481818182,11.17652174,10.3457655,11.51907501,10.3747939
Karnataka_Shimoga,8.386388889,6.984864865,8.454594595,7.066486486,7.514594595,6.690540541,6.41,7.427837838,9.748888889,8.747222222,8.832285714,9.888857143,9.300882353,8.685882353,9.055757576,8.774968907,9.203003296,8.679110005
Karnataka_Tumkur,15.35233333,11.36484375,13.67029412,11.55685714,9.902857143,10.28957143,9.711617647,12.3775,16.91985075,16.76761194,15.93863636,15.395,14.91681818,13.59568182,17.75255814,13.76013726,16.34605767,14.82764199
Karnataka_Udupi,8.935882353,7.040588235,8.759411765,8.285294118,8.548823529,9.074705882,8.435882353,9.248235294,9.137647059,9.034705882,9.029411765,8.402352941,8.721176471,9.299411765,10.14705882,9.13256399,8.93050248,9.025426759
Karnataka_Uttara Kannada,8.920454545,8.0525,7.899090909,7.659318182,8.401818182,8.223181818,7.911818182,8.552272727,9.053636364,8.477272727,8.264318182,8.166590909,8.266428571,8.417619048,8.8705,8.630272511,8.728266738,8.505557357
Karnataka_Yadgir,6.923,7.209,7.435333333,6.264137931,7.886896552,7.17,5.867407407,7.697777778,8.468461538,7.957692308,7.908,9.100416667,6.654,7.20625,7.743333333,7.398221785,7.816985325,7.425959151
Kerala_Alappuzha,3.532826087,3.931956522,3.965434783,3.630652174,3.779111111,4.200697674,3.86627907,4.065,4.380930233,4.046363636,4.191136364,3.996829268,4.403157895,4.010571429,3.888285714,4.130174342,4.045880528,4.160111956
Kerala_Ernakulam,5.18984375,5.23046875,5.606190476,4.921428571,5.476825397,5.360338983,5.248448276,5.543275862,6.17725,6.186833333,5.61234375,5.9525,5.327777778,5.476296296,5.298653846,5.491147657,5.356880954,5.582398471
Kerala_Idukki,6.055555556,7.028888889,7.694814815,6.302222222,7.545384615,7.256,7.705,7.2792,6.9908,7.4652,5.7276,6.640416667,6.872608696,6.499545455,5.885238095,7.336056708,6.475539916,6.73586383
Kerala_Kannur,8.313877551,8.307346939,8.350204082,7.351632653,8.151632653,8.05,7.811428571,8.281428571,8.156938776,8.08244898,7.977916667,6.685,9.461590909,8.421162791,8.63627907,8.511481609,9.089425453,8.394069068
Kerala_Kasaragod,10.70047619,10.52238095,10.70452381,9.300238095,11.43292683,10.053,9.94275,10.28725,11.47384615,10.435,9.912564103,11.168,10.69594595,10.14138889,10.70777778,10.20515648,10.97916068,10.30008031
Kerala_Kollam,8.672413793,8.578965517,8.71637931,8.243508772,8.671929825,8.19122807,8.245964912,7.947719298,8.815614035,8.496315789,8.15137931,8.186140351,8.323928571,9.096181818,7.341923077,8.939059577,7.996841071,8.907280927
Kerala_Kottayam,5.947575758,6.050909091,6.068181818,5.252727273,5.371515152,5.216666667,5.57969697,5.880909091,7.583787879,5.818709677,5.274193548,5.984137931,6.105862069,5.732142857,4.913571429,5.736738549,5.166571773,5.926101268
Kerala_Kozhikode,5.711860465,6.110930233,6.097674419,5.510232558,5.710232558,5.611190476,5.498809524,5.723095238,6.033333333,5.525348837,5.83627907,6.103023256,6.39575,6.298974359,6.522820513,6.362876628,6.412182201,6.445310748
Kerala_Malappuram,8.303013699,8.043424658,8.075416667,7.521830986,8.304366197,8.172777778,7.374305556,9.127916667,9.023194444,8.14890411,8.637916667,9.361944444,9.83084507,9.24119403,8.871538462,9.236109361,9.294680014,9.143752072
Kerala_Palakkad,7.310597015,7.090597015,7.430461538,6.291969697,7.58030303,6.764153846,5.874545455,7.329090909,8.019393939,7.527424242,6.51,7.477313433,8.010597015,7.481428571,7.426885246,7.432634275,7.75109179,7.557981071
Kerala_Pathanamthitta,5.8,5.632222222,6.066388889,5.273888889,5.852777778,5.465277778,5.241142857,5.378857143,5.726857143,5.083714286,5.108857143,5.262571429,5.437575758,5.216875,4.899333333,5.206980876,5.211649814,5.210000811
Kerala_Thiruvananthapuram,9.059464286,8.969285714,9.403392857,8.874181818,9.668727273,9.610555556,9.152407407,9.602037037,10.77227273,9.58625,9.515357143,9.398888889,10.33703704,9.916981132,8.085192308,9.720228807,8.811171642,9.729990793
Kerala_Thrissur,6.688166667,7.167333333,7.185254237,6.676440678,7.580847458,7.266140351,7.362631579,7.876315789,7.835614035,7.192,7.231833333,6.973157895,7.927454545,8.390943396,8.805882353,8.235062627,8.57512737,8.205581522
Kerala_Wayanad,6.733055556,6.461388889,6.890277778,6.225833333,6.899444444,6.612222222,6.756944444,7.006944444,7.458055556,6.730555556,6.275555556,7.194166667,7.329428571,7.32969697,7.171612903,7.16250994,7.209835066,7.188138209
Madhya Pradesh_Alirajpur,9.423636364,10.42181818,7.821818182,8.118181818,9.251818182,8.318181818,10.25363636,10.89272727,9.897272727,8.430909091,8.52,8.337272727,8.138,9.636666667,11.83222222,9.108108771,11.22102154,9.234941216
Madhya Pradesh_Anuppur,9.394615385,8.934615385,9.353076923,9.080769231,9.696153846,8.636153846,8.898461538,6.912307692,8.033076923,8.031538462,7.568461538,8.893846154,8.343846154,8.640769231,9.22,8.653446426,9.174456897,8.666904465
Madhya Pradesh_Ashoknagar,13.214,10.39933333,12.51666667,12.64,12.50266667,12.43428571,13.24866667,12.002,13.09733333,9.553333333,10.514,9.073333333,10.64666667,10.875,9.658571429,10.86910108,11.96149085,10.95467226
Madhya Pradesh_Balaghat,7.954736842,6.808684211,7.209210526,7.729736842,8.117368421,7.334736842,7.008947368,7.388947368,7.612894737,6.775526316,7.354736842,5.579473684,6.993611111,7.043888889,7.62,6.900283101,7.34148446,7.173718237
Madhya Pradesh_Barwani,13.26181818,17.27818182,9.986363636,10.59818182,15.71636364,10.33272727,9.043636364,12.43181818,18.12636364,19.40363636,14.17636364,8.947,12.35666667,12.96222222,13.70777778,11.42783255,13.76680402,13.72735444
Madhya Pradesh_Betul,12.21766667,10.27645161,11.11290323,9.87,11.817,9.445666667,10.2983871,10.76612903,9.391290323,11.73483871,12.00806452,12.091,14.01,13.07214286,14.37448276,12.84274312,14.11881874,12.728329
Madhya Pradesh_Bhind,17.77346154,19.31111111,19.77851852,21.41851852,19.049,20.29095238,18.90166667,18.61333333,19.27814815,17.58333333,17.44333333,19.0975,16.09842105,17.45,14.85411765,17.14555134,18.50885308,17.37767371
Madhya Pradesh_Bhopal,15.8225,16.96916667,15.12166667,14.13333333,17.64833333,10.35666667,17.28083333,15.30666667,14.63,14.19909091,13.563,11.90222222,15.32222222,16.00888889,16.22777778,15.71011292,15.96082424,15.74873337
Madhya Pradesh_Burhanpur,14.87,15.22,14.93916667,14.59916667,14.55222222,12.95222222,13.894,14.69,12.755,12.35166667,12.11333333,13.18888889,13.09666667,13.97333333,14.84111111,13.8841555,14.34734149,13.92600577
Madhya Pradesh_Chhatarpur,9.067,9.079677419,10.5616129,10.92645161,10.107,9.546,11.23741935,9.616451613,9.827419355,6.704193548,9.463870968,9.877,10.14366667,10.69833333,10.29433333,10.50234874,10.49656329,10.45628977
Madhya Pradesh_Chhindwara,11.98568182,10.47088889,10.91333333,11.11155556,13.49454545,11.18431818,11.97409091,10.745,10.542,12.78555556,12.53911111,11.65681818,14.19170732,12.98487179,15.80641026,12.86106585,15.09813377,12.87143616
Madhya Pradesh_Damoh,10.19,11.0372,10.8528,12.3188,10.1936,10.4692,12.86,10.9864,11.4825,9.3988,9.8248,9.4268,12.0028,12.72458333,12.04130435,11.83902441,12.1308378,12.05785629
Madhya Pradesh_Datia,14.45833333,13.55166667,15.56333333,16.775,11.12,11.41,12.075,12.09166667,11.34166667,10.34166667,11.79166667,12.72833333,13.328,14.37,14.512,13.97791384,13.67535405,13.57608124
Madhya Pradesh_Dewas,14.13222222,14.07407407,11.80666667,13.44518519,13.60884615,9.775555556,11.77538462,10.39538462,11.89884615,9.95,12.528,9.154166667,11.73409091,13.51772727,13.9445,12.66638257,13.24225265,13.04419905
